Compound,logSo_SSF,SD_SSF,logSo_CS,SD_CS
Acebutolol,-2.5,0.42,-2.68,0.31
Acetaminophen,-0.97,0.1,-1.03,0.05
Acetazolamide,-2.38,0.18,-2.44,0.04
Alprenolol,-2.83,0.16,-2.66,0.04
Amantadine,-2.76,0.5,-1.9,0.07
Amiodarone,-10.58,0.35,-9.68,0.15
Amitriptyline,-4.66,0.4,-4.55,0.15
Amodiaquine,-4.74,0.35,-5.87,0.1
Amoxicillin,-2.13,0.06,-1.97,0.08
Aripiprazole,-6.74,0.16,-6.43,0.3
Atenolol,-1.2,0.06,-1.25,0.06
Atropine,-2.01,0.29,-2,0.07
"Barbital,Hexo-",-2.79,0.15,-2.67,0.07
"Barbital,Pheno-",-2.3,0.08,-2.29,0.07
Bendroflumethiazide,-4.35,0.34,-4.19,0.15
Benzocaine,-2.18,0.12,-2.33,0.31
Benzoic_Acid,-1.59,0.05,-1.61,0.15
"Benzoic_Acid,4-Hydroxy-",-1.38,0.1,-1.46,0.04
Benzthiazide,-4.84,0.28,-4.86,0.04
Bifonazole,-6.27,0.25,-6.01,0.15
Bisoprolol,-2.4,0.34,-1.46,0.26
Bupivacaine,-3.47,0.18,-3.08,0.21
Carprofen,-4.63,0.05,-4.7,0.22
Carvedilol,-5.46,0.36,-4.46,0.27
Cephalothin,-3.4,0.32,-2.94,0.04
Chlorpheniramine,-2.65,0.1,-2.6,0.12
Chlorpromazine,-5.45,0.31,-5.55,0.04
Chlorpropamide,-3.15,0.17,-3.21,0.05
Chlorprothixene,-5.66,0.38,-6.31,0.44
Chlorzoxazone,-2.78,0.11,-2.64,0.04
Cimetidine,-1.5,0.22,-1.69,0.04
Ciprofloxacin,-3.57,0.19,-3.6,0.18
Cyproheptadine,-5.02,0.46,-5,0.15
Diazoxide,-3.46,0.26,-3.36,0.07
Dibucaine,-3.7,0.35,-4.2,0.26
Diclofenac,-5.33,0.19,-5.4,0.14
Diethylstilbestrol,-4.38,0.38,-4.43,0.48
Difloxacin,-3.94,0.1,-3.6,0.04
Diflunisal,-5.08,0.4,-4.92,0.7
Diltiazem,-2.95,0.2,-3.05,0.16
Diphenhydramine,-3.29,0.64,-2.95,0.04
Dipyridamole,-5.13,0.13,-5.16,0.02
Enrofloxacin,-3.16,0.13,-3.18,0.18
