# Name, smiles, S0(mol/L) at 25*C
Benzoic acid,C1=CC=C(C=C1)C(=O)O,-1.59
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,-1.43
Diltiazem HCl,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,-2.95
Enalaprilmaleate,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O.C(=CC(=O)O)C(=O)O,-1.36
Metoprololtartrate,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.C(C(C(=O)O)O)(C(=O)O)O,-1.20
Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,-1.57
Propoxyphene HCl,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C.Cl,-5.01
Quinine HCl,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl,-2.82
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,-6.69
Trovafloxacin mesylate,CS(=O)(=O)O.C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,-4.53
