# SMILES,CAS,logS
O=C(C)N	60-35-5	1.58
NNC	60-34-4	1.34
O=C(C)O	64-19-7	1.22
N1CCCC1	123-75-1	1.15
O=C(N)NO	127-07-1	1.12
OCC(O)CO	56-81-5	1.12
O=C(C)N(C)C	127-19-5	1.11
[nH0]1cccc[nH0]1	289-80-5	1.10
[nH0]1ccc[nH0]c1	289-95-2	1.10
OCC(C(C(C(CO)O)O)O)O	50-70-4	1.09
O=C(CC(C)N)O	541-48-0	1.08
N1CCNCC1	110-85-0	1.07
N1CCCCC1	110-89-4	1.07
c1c(O)cc[nH0]c1	626-64-2	1.02
c1c(O)[nH0]ccc1	72762-00-6	1.02
O=C(O)CCCC(O)=O	110-94-1	1.00
C1N(C)CCOC1	109-02-4	1.00
O=C(N)OC	598-55-0	0.97
CN1C(=O)C=CC=C1	694-85-9	0.96
O=C(O)CCl	79-11-8	0.93
O=C(N)OCC	51-79-6	0.85
COC(=O)C1=CCCN(C)C1	63-75-2	0.81
c1c(O)cc(cc1)O	108-46-3	0.81
c1cc[nH0]cc1	110-86-1	0.76
N1CCNCC1C	109-07-9	0.74
OCC1(C(C(C(CO1)O)O)O)O	@57-48-7	0.64
c1c(O)c(O)ccc1	120-80-9	0.62
O=C(N)c1ccc[nH0]c1	98-92-0	0.61
C=1C(=O)NC=NC1	51953-17-4	0.59
O=CCC	123-38-6	0.58
O=COC	107-31-3	0.58
O=CC=C	107-02-8	0.57
C1CCCO1	109-99-9	0.56
O=C(C)CC	78-93-3	0.52
C1C(C)NCC(C)N1	106-55-8	0.49
COCOC	109-87-5	0.48
c1c(C)[nH0]c(cc1)C	108-48-5	0.45
c1c(C)ccc(C)[nH0]1	589-93-5	0.40
OC1C(COC(C1O)O)O	87-72-9	0.39
c1c(C)cc(C)[nH0]c1	108-47-4	0.38
Cc1c(C)ccc[nH0]1	583-61-9	0.38
C1=CC=C2C3CC(CNC3)CN2C1=O	485-35-8	0.36
OC1C(O)C(C(C(C1O)O)O)O	643-12-9	0.35
O=CC=CC	4170-30-3	0.32
NC(CC)C(O)=O	80-60-4	0.31
O=C1CCC(=O)N1	123-56-8	0.30
O=C(C(C)C)O	79-31-2	0.28
C1N(C)CCCC1	626-67-5	0.23
O=C(C)CC(C)=O	123-54-6	0.22
O=COCC	109-94-4	0.15
N#CC=C	107-13-1	0.15
O1CCCC1C	96-47-9	0.11
O=C(OC(C)(C)C)N	4248-19-5	0.10
CC(CC)(C)O	75-85-4	0.08
