# TRAINING SET INDEX";"SMILES";"NAME";"MW";"LogS(mols/L)";"REFERENCE";
1;"[S-][P](OC)(OC)Oc1ccc(Sc2ccc(O[P]([S-])(OC)OC)cc2)cc1";"Abate";466.51;-6.237;26;
2;"O=C(O)[C@@](C)(CCC[C@](C)([C@@H](CCC(=CC1=CC[C@@H]23)C(C)C)1)3)2";"Abieticacid";302.5;-3.8;25;
3;"c1cc2CCc3cccc(c1)c23";"Acenaphthene";154.22;-4.63;25;
4;"c1cc2C=Cc3cccc(c1)c23";"Acenaphthylene";152.2;-3.96;25;
5;"S([P@@]([O-])(OC)NC(=O)C)C";"Acephate";183.19;0.54;26;
6;"O=C(N)C";"Acetamide";59.08;1.58;25;
7;"O=C(Nc1ccccc1)C";"Acetanilide";135.18;-1.33;25;
8;"s1c([S]([O-])([O-])N)[nH0][nH0]c1NC(=O)C";"Acetazoleamide";222.28;-2.36;25;
9;"[S]([O-])([O-])(N(c1o[nH0]c(C)c1C)C(=O)C)c1ccc(N)cc1";"Acetylsulfisoxazole";309.38;-3.59;25;
10;"O=C(O)[C@](O)(c1ccccc1)C(=O)C";"Acetyl-r-mandelicacid";194.19;-1.236;24;
11;"Nc1[nH0]c[nH0]c2[nH0]c[nH]c21";"Adenine";135.13;-2.144;24;
12;"O=C(O)CCCCC(=O)O";"Adipicacid";146.16;-0.82;25;
13;"O=C1C=C2CC[C@H]([C@@H](CCC(=O)[C@](C)(CC(=O)[C@@H]3([C@](C)(CC1)2))1)1)3";"Adrenosterone";300.43;-3.48;25;
14;"O[C@H]([C@H]([C@H](N1[C@@H](C[C@@H]2([C@@H](CC)[C@H](O)1))[C@@H](N(C)c1ccccc1[C@@](C1)34)3)1)2)4";"Ajmaline";326.48;-2.82;25;
15;"ClCC(=O)N(COC)c1c(cccc1CC)CC";"Alachlor";269.8;-3.26;25;
16;"O=C1C=C2CC[C@H]([C@H](CC[C@H](C(=O)CO)[C@](C[C@H](O[C@H](O)3)[C@@H]4([C@](C)(CC1)2))13)1)4";"Aldosterone";360.49;-3.85;25;
17;"ClC1=C(Cl)[C@](Cl)([C@@H]([C@H](C=C[C@H](C2)[C@@H]3([C@@](Cl)1(C1(Cl)Cl)))2)3)1";"Aldrin";364.9;-7.33;25;
18;"O=C1c2ccccc2C(=O)c2c(O)c(O)ccc12";"Alizarin";240.22;-2.78;25;
19;"O=C1NC(=O)C(CC=C)(CC=C)C(=O)N1";"Allobarbital";208.24;-2.06;25;
20;"Oc1[nH0]c[nH0]c2[nH][nH0]cc21";"Allopurinol";136.13;-2.38;25;
21;"O=C(O)[C@H](N)CC";"Alpha-Aminobutyricacid";103.14;0.31;25;
