#Expt.,SLN
-4.35,BrC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
-3.33,BrC[2]=C(C(=CHC(=CH@2)C#N)Br)OH
-6.98,BrC[2]=C(CH=C(C(=CH@2)Br)Br)Br
-6.09,BrC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH3)OCH3)Cl
-3.92,BrC[2]=C(CH=C(CH=CH@2)NHC(=O)N(OCH3)CH3)Cl
-4.5,BrC[2]=C(CH=CHC(=CH@2)Br)Br
-5.04,BrC[2]=C(CH=CHCH=C@2Br)Br
-3.5,BrC[2]=C(CH=CHCH=CH@2)Br
-2.23,BrC[2]=C(CH=CHCH=CH@2)CH3
-3.19,BrC[2]=C(CH=CHCH=CH@2)Cl
-2.7,BrC[2]=C(CH=CHCH=CH@2)F
-4.4,BrC[2]=CHC[5]=C(CH=CH@2)CH=CHCH=CH@5
-5.6,BrC[2]=CHC(=CHC(=CH@2)Br)Br
-3.54,BrC[2]=CHC(=CHCH=CH@2)Br
-3.52,BrC[2]=CHC(=CHCH=CH@2)CH3
-3.21,BrC[2]=CHC(=CHCH=CH@2)Cl
-2.67,BrC[2]=CHC(=CHCH=CH@2)F
-4.07,BrC[2]=CHCH=C(CH=CH@2)Br
-4.45,BrC[2]=CHCH=C(CH=CH@2)C[12]=CHCH=C(CH=CH@12)CH(OH)CH2CH(C[31]=C(C[33]=C(CH=CHCH=CH@33)OC@31=O)OH)C[48]=CHCH=CHCH=CH@48
-3.19,BrC[2]=CHCH=C(CH=CH@2)CH3
-3.63,BrC[2]=CHCH=C(CH=CH@2)Cl
-4.93,BrC[2]=CHCH=C(CH=CH@2)C(OH)(C[15]=CHCH=C(CH=CH@15)Br)C(=O)OCH(CH3)CH3
-3.08,BrC[2]=CHCH=C(CH=CH@2)NHC(=O)CH3
-1.09,BrC[2]=CHCH=C(CH=CH@2)OH
-2.55,BrC[2]=CHCH=CHCH=CH@2
-2.3,BrC[2]HCH2CH2CH2CH2CH2@2
-3.12,BrC[2]=C(CH=NN(C@2=O)C[10]=CHCH=CHCH=CH@10)NH2
-2.52,BrC[2]=C(NHC(N(C@2=O)CH(CH2CH3)CH3)=O)CH3
-3.14,BrC(Br)(Br)Br
-2.65,BrC(=CH2)CH2C[9](C(NHC(NHC@9=O)=O)=O)CH(CH2CH3)CH3
-2.68,BrC(CH2CH3)(CH2CH3)C(=O)NHC(=O)NH2
-8.4,BrC(=CHC[5]HC(CH@5C(=O)OCH(C[15]=CHC(=CHCH=CH@15)OC[26]=CHCH=CHCH=CH@26)C#N)(CH3)CH3)Br
-2.28,BrC(Cl)(Cl)CH(Br)OP(=O)(OCH3)OCH3
-1.17,BrCH2Br
-1.68,BrCH2CH2Br
-2.08,BrCH2CH2CH2Br
-5.06,BrCH2CH2CH2CH2CH2CH2CH2CH3
