Expt.,SLN
-1.9816,C[1]H:CH:CH:C[7]:C(:CH:@1):CH:CH:CH:C:@7OH
-3.0743,C[1](:C(:CH:C(:CH:CH:@1)NHC[12]:CH:CH:N:C[18]:C:@12:CH:CH:C(:CH:@18)Cl)CH2N(CH2CH3)CH2CH3)OH
-1.7142,OHCH2CH(C(OC[10]HCH2C[15]HCH2CH2CH(CH2@10)N@15CH3)=O)C[34]:CH:CH:CH:CH:CH:@34
-2.6203,S(C[2]:N(:CH:N:C:@2N[+1](O[-1])=O)CH3)C[15]:N:CH:N:C[20]:N:CH:NH:C:@15:@20
-1.0638,N[1](CH2C[5]:CH:CH:CH:CH:CH:@5):CH:N:CH:CH:@1
-2.4352,BrC[2]:CH:C[5]:C(CH2N(CH3)CH3):CH:NH:C:@5:CH:CH:@2
-2.6342,C[1]H(CH2CH2CH2CH2N@1CH2CH2CH2CH3)C(=O)NHC[33]:C(:CH:CH:CH:C:@33CH3)CH3
-1.8536,CH3CH(C[7]:CH:C[10]:C(:CH:CH:@7):C[16]:C(:NH:@10):CH:CH:C(:CH:@16)Cl)C(=O)OH
-4.5496,CH2(CH(CH2NHCH2CH2OC[18]:C(:CH:CH:CH:CH:@18)OCH3)OH)OC[36]:CH:CH:CH:C[43]:NH:C[46]:C(:C:@36:@43):CH:CH:CH:CH:@46
-5.7905,C[1](=C(CH2OC(CH3)=O)CH2SC[17]HCH(C(N@1@17)=O)NHC(CH2C[30]:CH:CH:CH:S:@30)=O)C(OH)=O
-2.0025,CH(CH2CH2N(CH3)CH3)(C[18]:CH:CH:CH:CH:N:@18)C[28]:CH:CH:C(:CH:CH:@28)Cl
-3.2078,BrC[2]:CH:C(:C(:CH:CH:@2)NH2)C(OH)=O
-2.2577,C[1]H:C(:CH:CH:C[8]SC[10]:CH:CH:CH:CH:C:@10N(C:@1:@8)CH2CH2CH2N(CH3)CH3)Cl
-4.0552,ClC[2]:CH:CH:C(S(=O)(=O)NHC(=O)NHCH2CH2CH3):CH:CH:@2
-3.2241,CH3N(CH3)CH2CH2CH=[S=N]C[18]C[19]:CH:CH:CH:CH:C:@19SC[30]:C@18:CH:C(:CH:CH:@30)Cl
-4.6983,C[1]H:CH:C[5]:C(:CH:C:@1Cl)NHC(=O)O@5
-4.2557,CH3C[5]:C(:N:CH:NH:@5)CH2SCH2CH2NHC(=[S=N]NCH3)NHC#N
-2.938,O=C(C[3]=CHN(C[7]HCH2CH2@7)C[15]:C(:CH:C(F):C(N[22]CH2CH2NHCH2CH2@22):CH:@15)C@3=O)OH
-2.6667,CH3N[5]CH2C[9]HCH2CH@5CH2N@9C[20]:C(:CH:C[24]:C(:CH:@20)N(CH=C(C@24=O)C(=O)OH)C[38]HCH2CH2@38)F
-5.0706,C[1]H:CH:CH:CH:C(:CH:@1)CH2CH(N(CH3)CH2C#CH)CH3
-3.2484,N[1](C[2]:C(CH2CH2C[10]:C@1:CH:CH:CH:CH:@10):CH:CH:CH:CH:@2)CH2CH2CH2NHCH3
-6.7447,ClC[2]:CH:C[5]S(=O)(=O)N=C(NHC:@5:CH:CH:@2)CH3
-2.6565,C[1]H:CH:C(:CH:CH:C:@1OH)I
